山西电信组播
北京卫视4k,rtp://239.1.1.136:8136
广东卫视4k,rtp://239.1.1.137:8137
深圳卫视4k,rtp://239.1.1.138:8138
东方卫视4k,rtp://239.1.1.139:8139
浙江卫视4k,rtp://239.1.1.140:8140
湖南卫视4k,rtp://239.1.1.141:8141
江苏卫视4k,rtp://239.1.1.142:8142
四川卫视4k,rtp://239.1.1.143:8143
山东卫视4k,rtp://239.1.1.144:8144
广东卫视4k,rtp://239.1.1.24:8024
深圳卫视4k,rtp://239.1.1.25:8025

宁夏卫视高清,rtp://239.1.1.56:8056
西藏卫视高清,rtp://239.1.1.57:8057
兵团卫视高清,rtp://239.1.1.58:8058
新疆卫视高清,rtp://239.1.1.59:8059
凤凰中文,rtp://239.1.1.126:8126
凤凰资讯,rtp://239.1.1.127:8127
