山西频道,#genre#
山西卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.152:9128
山西黄河,http://zb.wekh.eu.org:6000/rtp/226.0.2.235:9792
山西经济与科技,http://zb.wekh.eu.org:6000/rtp/226.0.2.236:9800
山西影视,http://zb.wekh.eu.org:6000/rtp/226.0.2.237:9808
山西社会与法治,http://zb.wekh.eu.org:6000/rtp/226.0.2.238:9816
山西文体生活,http://zb.wekh.eu.org:6000/rtp/226.0.2.16:8040
运城新闻综合,http://zb.wekh.eu.org:6000/rtp/226.0.2.158:9896
运城公共频道,http://zb.wekh.eu.org:6000/rtp/226.0.2.105:9010
运城科技教育,http://zb.wekh.eu.org:6000/rtp/226.0.2.106:9006

央视频道,#genre#
CCTV1,http://zb.wekh.eu.org:6000/rtp/226.0.2.153:9136
CCTV2,http://zb.wekh.eu.org:6000/rtp/226.0.2.154:9144
CCTV3,http://zb.wekh.eu.org:6000/rtp/226.0.2.208:9576
CCTV4,http://zb.wekh.eu.org:6000/rtp/226.0.2.156:9160
CCTV5,http://zb.wekh.eu.org:6000/rtp/226.0.2.209:9584
CCTV5+,http://zb.wekh.eu.org:6000/rtp/226.0.2.168:9256
CCTV6,http://zb.wekh.eu.org:6000/rtp/226.0.2.210:9592
CCTV7,http://zb.wekh.eu.org:6000/rtp/226.0.2.159:9184
CCTV8,http://zb.wekh.eu.org:6000/rtp/226.0.2.211:9600
CCTV9,http://zb.wekh.eu.org:6000/rtp/226.0.2.161:9200
CCTV10,http://zb.wekh.eu.org:6000/rtp/226.0.2.162:9208
CCTV11,http://zb.wekh.eu.org:6000/rtp/226.0.2.28:8136
CCTV12,http://zb.wekh.eu.org:6000/rtp/226.0.2.164:9224
CCTV13,http://zb.wekh.eu.org:6000/rtp/226.0.2.165:9232
CCTV14,http://zb.wekh.eu.org:6000/rtp/226.0.2.166:9240
CCTV15,http://zb.wekh.eu.org:6000/rtp/226.0.2.32:8168
CCTV16,http://zb.wekh.eu.org:6000/rtp/226.0.2.169:9264
CCTV17,http://zb.wekh.eu.org:6000/rtp/226.0.2.170:9272
CCTV央视台球,http://zb.wekh.eu.org:6000/rtp/226.0.2.216:9640
CCTV高网,http://zb.wekh.eu.org:6000/rtp/226.0.2.217:9648
CCTV电视指南,http://zb.wekh.eu.org:6000/rtp/226.0.2.218:9656
CCTV央视文化精品,http://zb.wekh.eu.org:6000/rtp/226.0.2.219:9664
CCTV风云音乐,http://zb.wekh.eu.org:6000/rtp/226.0.2.220:9672
CCTV第一剧场,http://zb.wekh.eu.org:6000/rtp/226.0.2.221:9680
CCTV世界地理,http://zb.wekh.eu.org:6000/rtp/226.0.2.222:9688
CCTV兵器科技,http://zb.wekh.eu.org:6000/rtp/226.0.2.223:9696
CCTV怀旧剧场,http://zb.wekh.eu.org:6000/rtp/226.0.2.224:9704
CCTV风云足球,http://zb.wekh.eu.org:6000/rtp/226.0.2.225:9712
CCTV女性时尚,http://zb.wekh.eu.org:6000/rtp/226.0.2.226:9720
CCTV风云剧场,http://zb.wekh.eu.org:6000/rtp/226.0.2.227:9728

卫视频道,#genre#
湖南卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.143:9056
浙江卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.144:9064
安徽卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.145:9072
广东卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.146:9080
深圳卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.147:9088
天津卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.148:9096
山东卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.149:9104
湖北卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.150:9112
黑龙江卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.151:9120
金鹰卡通,http://zb.wekh.eu.org:6000/rtp/226.0.2.172:9288
辽宁卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.173:9296
重庆卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.174:9304
东方卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.175:9312
江苏卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.176:9320
北京卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.177:9328
纪实科教,http://zb.wekh.eu.org:6000/rtp/226.0.2.141:9040
河北卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.178:9336
四川卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.179:9344
贵州卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.180:9352
吉林卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.58:8376
河南卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.52:8328
江西卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.54:8344
梨园频道,http://zb.wekh.eu.org:6000/rtp/226.0.2.115:8832
东南卫视,http://zb.wekh.eu.org:6000/rtp/226.0.2.188:9416
上海纪实,http://zb.wekh.eu.org:6000/rtp/226.0.2.193:9456
